,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
94,2021-02-15 13:50:26.269,0.087718,2.603386,9.580827,0.018115,0.002417,-0.004127,-20.115381,-5.256414,-41.709808,-90.215454,-15.187865,-0.670833,Sitting
95,2021-02-15 13:50:26.319,0.123942,2.622696,9.599089,-0.003833,0.007299,-0.008852,-19.922989,-5.632732,-41.935028,-90.213379,-15.206714,-0.676615,Sitting
96,2021-02-15 13:50:26.369,0.117356,2.631827,9.645642,0.022722,0.005757,-0.011888,-20.079576,-5.494184,-41.940186,-90.220782,-15.2015,-0.676967,Sitting
97,2021-02-15 13:50:26.420,0.119601,2.641856,9.509425,-0.014477,-0.001088,-0.00882,-20.132988,-5.482269,-41.897278,-90.207102,-15.215003,-0.657766,Sitting
98,2021-02-15 13:50:26.470,0.122296,2.59201,9.648785,0.004838,0.012345,-0.014352,-19.981045,-5.514469,-41.947266,-90.190698,-15.214706,-0.690792,Sitting
99,2021-02-15 13:50:26.520,0.100441,2.617607,9.56451,-0.000611,-0.009659,-0.006471,-20.112431,-5.538506,-41.698273,-90.169903,-15.192159,-0.694735,Sitting
100,2021-02-15 13:50:26.570,0.1684,2.595752,9.601484,0.009987,0.020469,-0.017578,-20.005484,-5.412447,-41.894836,-90.170043,-15.206097,-0.721038,Sitting
101,2021-02-15 13:50:26.620,0.11077,2.611769,9.642798,0.014969,0.005731,-0.014227,-20.028624,-5.540112,-41.841858,-90.149457,-15.196831,-0.719899,Sitting
102,2021-02-15 13:50:26.671,0.066611,2.6209,9.541309,-0.001561,0.005433,0.010409,-20.15737,-5.287819,-41.777313,-90.138273,-15.215978,-0.703597,Sitting
103,2021-02-15 13:50:26.721,0.173938,2.587519,9.682316,0.014889,0.019504,-0.004714,-20.107403,-5.37561,-41.740875,-90.171585,-15.230247,-0.715579,Sitting
104,2021-02-15 13:50:26.771,0.128283,2.628833,9.534573,0.000254,-0.002294,-0.023831,-20.149296,-5.185053,-41.876099,-90.239911,-15.20905,-0.69043,Sitting
105,2021-02-15 13:50:26.821,0.071851,2.598447,9.572594,0.002121,0.012291,-0.012742,-20.154793,-5.435698,-41.848022,-90.213047,-15.233337,-0.681285,Sitting
106,2021-02-15 13:50:26.871,0.077988,2.685865,9.708661,0.035402,0.010813,-0.004853,-20.032921,-5.212524,-41.82312,-90.204422,-15.210369,-0.697479,Sitting
107,2021-02-15 13:50:26.922,0.146246,2.5727,9.532178,0.02421,0.000265,-0.014972,-20.196785,-5.248856,-41.670441,-90.23813,-15.255387,-0.698278,Sitting
108,2021-02-15 13:50:26.972,0.133822,2.608476,9.6175,0.009437,0.006513,-0.011032,-20.064217,-5.395401,-41.872192,-90.241486,-15.337657,-0.685496,Sitting
109,2021-02-15 13:50:27.022,0.08667,2.636318,9.604926,0.020152,-0.002685,-2e-05,-20.198523,-5.290623,-41.858765,-90.25301,-15.346434,-0.699271,Sitting
110,2021-02-15 13:50:27.072,0.150886,2.628833,9.486523,-0.029512,0.019668,0.003606,-20.079733,-5.593452,-41.937561,-90.281014,-15.390245,-0.711628,Sitting
111,2021-02-15 13:50:27.122,0.131277,2.682721,9.705817,0.02182,0.006903,-0.010015,-20.018169,-5.513277,-41.899139,-90.309545,-15.352184,-0.713533,Sitting
112,2021-02-15 13:50:27.173,0.12005,2.674039,9.557026,0.017321,-0.000213,-0.013058,-19.960783,-5.495119,-41.874298,-90.338491,-15.345994,-0.688179,Sitting
113,2021-02-15 13:50:27.223,0.107926,2.623445,9.633966,0.022204,0.001818,-0.0193,-19.974943,-5.436647,-41.805969,-90.340123,-15.402713,-0.707177,Sitting
114,2021-02-15 13:50:27.273,0.11077,2.66401,9.518257,0.017751,0.006788,-0.004948,-20.005716,-5.551575,-41.69043,-90.315547,-15.436398,-0.718744,Sitting
115,2021-02-15 13:50:27.323,0.152383,2.652634,9.599089,0.01873,0.010145,-0.005279,-20.099199,-5.60224,-41.751923,-90.319656,-15.509436,-0.734748,Sitting
116,2021-02-15 13:50:27.373,0.121248,2.686763,9.580378,0.015954,0.006024,-0.000169,-20.169006,-5.606546,-41.663635,-90.334614,-15.52984,-0.7162,Sitting
117,2021-02-15 13:50:27.424,0.177082,2.67853,9.565558,0.016346,0.015341,-0.015413,-20.181288,-5.387806,-41.832733,-90.378383,-15.568696,-0.724191,Sitting
118,2021-02-15 13:50:27.474,0.103136,2.705324,9.55523,-0.007956,-0.006316,-0.013793,-20.263523,-5.568979,-41.809479,-90.395157,-15.612005,-0.716204,Sitting
119,2021-02-15 13:50:27.524,0.085323,2.660118,9.619147,0.012771,0.007311,-0.016042,-19.966719,-5.565228,-41.798218,-90.381599,-15.603128,-0.714526,Sitting
120,2021-02-15 13:50:27.574,0.125888,2.650388,9.504485,-0.002827,-0.001556,-0.020173,-20.114351,-5.670935,-41.692108,-90.380044,-15.598355,-0.740228,Sitting
121,2021-02-15 13:50:27.625,0.117805,2.688858,9.64669,0.011302,0.024038,-0.007538,-20.011467,-5.473135,-41.935059,-90.355831,-15.627934,-0.738093,Sitting
122,2021-02-15 13:50:27.675,0.073797,2.729574,9.555679,0.024028,0.016845,-0.00306,-20.025366,-5.602968,-41.959106,-90.366341,-15.59664,-0.711671,Sitting
123,2021-02-15 13:50:27.725,0.161364,2.644551,9.58861,-0.006001,0.014116,-0.013642,-20.162897,-5.609798,-41.883331,-90.404278,-15.652634,-0.663302,Sitting
124,2021-02-15 13:50:27.775,0.076341,2.661316,9.606423,0.00462,0.003527,-0.014057,-20.006113,-5.718752,-41.710144,-90.417371,-15.646282,-0.651728,Sitting
125,2021-02-15 13:50:27.825,0.088017,2.710563,9.488469,-0.003113,0.009907,-0.005897,-19.995096,-5.627096,-41.801544,-90.384742,-15.646539,-0.645342,Sitting
126,2021-02-15 13:50:27.876,0.157323,2.716551,9.606423,-0.00623,0.00128,-0.016916,-20.083347,-5.526993,-41.909912,-90.412666,-15.647963,-0.664279,Sitting
127,2021-02-15 13:50:27.926,0.107477,2.657574,9.556876,0.008972,0.009689,-0.018221,-20.064043,-5.765081,-41.892792,-90.39997,-15.595812,-0.655254,Sitting
128,2021-02-15 13:50:27.976,0.088017,2.696642,9.515862,-0.020147,0.006328,-0.017422,-20.125267,-5.545633,-41.858276,-90.401218,-15.610773,-0.649436,Sitting
129,2021-02-15 13:50:28.026,0.135468,2.667902,9.615854,-0.009051,0.005312,-0.015921,-19.885956,-5.524517,-41.809296,-90.387775,-15.587003,-0.644331,Sitting
130,2021-02-15 13:50:28.076,0.087418,2.650987,9.616902,-0.004217,0.015855,-0.016277,-19.966898,-5.688517,-41.725739,-90.36551,-15.542714,-0.636946,Sitting
131,2021-02-15 13:50:28.127,0.140707,2.656526,9.567804,-0.003294,0.019202,-0.019171,-19.975626,-5.706144,-41.746307,-90.324909,-15.486951,-0.602656,Sitting
132,2021-02-15 13:50:28.177,0.082478,2.612817,9.600286,0.011392,0.003507,-0.018127,-20.102352,-5.663364,-41.877808,-90.306882,-15.516854,-0.589506,Sitting
133,2021-02-15 13:50:28.227,0.10598,2.700235,9.543704,0.000694,0.0169,-0.009936,-19.866148,-5.824354,-41.835876,-90.275739,-15.499617,-0.574002,Sitting
